net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
XJ,LL66,-2.612,35.484,XJ,LL21,-2.063,35.551,4642,61.162
XJ,MW42,-3.04,36.101,XJ,LN16,-2.621,36.465,3828,61.519
XJ,LL66,-2.612,35.484,XJ,NG55,-3.142,35.687,6600,62.801
XJ,KEN1,-1.941,36.693,XJ,LN14,-2.439,36.415,5302,63.156
XJ,LL66,-2.612,35.484,XJ,LN34,-2.751,36.048,6688,64.572
XJ,LN26,-2.61,35.878,XJ,LN16,-2.621,36.465,6952,65.288
XJ,LN25,-2.501,35.886,XJ,LN16,-2.621,36.465,6941,65.743
XJ,KEN1,-1.941,36.693,XJ,KEN3,-2.093,36.119,5192,66.033
XJ,MW41,-3.23,36.445,XJ,LN16,-2.621,36.465,6512,67.378
XJ,MW36,-3.016,35.998,XJ,LN16,-2.621,36.465,6963,67.851
XJ,KEN3,-2.093,36.119,XJ,LN16,-2.621,36.465,5005,69.927
II,SUR,-32.38,20.812,XA,SA07,-31.978,20.226,5852,71.003
XJ,LL66,-2.612,35.484,XJ,PR31,-2.919,36.048,6677,71.31
II,SUR,-32.38,20.812,XA,SA05,-32.605,21.535,3168,72.387
XJ,LL66,-2.612,35.484,XJ,MW36,-3.016,35.998,6688,72.538
XJ,KEN1,-1.941,36.693,XJ,KEN4,-1.784,36.054,5445,73.185
Y6,JIMA,8.306,38.998,IU,FURI,8.895,38.68,1606,73.952
XJ,PR53,-2.854,35.835,XJ,LN16,-2.621,36.465,6677,74.639
IU,FURI,8.895,38.68,XI,NAZA,8.568,39.291,2266,76.343
XJ,LL66,-2.612,35.484,XJ,PR33,-2.839,36.14,6281,77.141
Y6,JIRE,8.24,38.933,IU,FURI,8.895,38.68,2475,77.612
XJ,LL66,-2.612,35.484,XJ,LN15,-2.628,36.185,6655,77.974
XJ,KEN1,-1.941,36.693,XJ,LN16,-2.621,36.465,5027,79.353
YJ,AMME,8.303,39.093,IU,FURI,8.895,38.68,4400,79.71
XJ,KEN2,-1.918,36.287,XJ,LN16,-2.621,36.465,4565,80.217
YJ,AREE,8.938,39.419,IU,FURI,8.895,38.68,4906,81.416
XJ,LL66,-2.612,35.484,XJ,PR32,-2.875,36.181,4004,82.778
YJ,MEKE,8.162,38.833,IU,FURI,8.895,38.68,4906,82.8
XJ,LL24,-2.266,35.807,XJ,LN16,-2.621,36.465,6941,83.045
XJ,LL66,-2.612,35.484,XJ,MW43,-3.205,35.946,3432,83.294
XJ,LL66,-2.612,35.484,XJ,MW42,-3.04,36.101,3828,83.342
XJ,LL66,-2.612,35.484,XJ,MW44,-3.344,35.664,6512,83.379
YJ,WOLE,8.534,37.982,IU,FURI,8.895,38.68,1529,86.567
XJ,MW43,-3.205,35.946,XJ,LN16,-2.621,36.465,4279,86.6
IU,KMBO,-1.127,37.252,XI,KITU,-1.373,38.002,1529,87.79
Y6,GEBI,8.219,39.106,IU,FURI,8.895,38.68,1254,88.256
Y6,TULL,8.181,39.058,IU,FURI,8.895,38.68,6457,89.262
Y6,ODAS,8.123,38.965,IU,FURI,8.895,38.68,6237,90.966
XJ,LL66,-2.612,35.484,XJ,KEN3,-2.093,36.119,5192,91.005
IU,FURI,8.895,38.68,XI,BUTA,8.117,38.382,1584,92.089
YJ,BUTE,8.117,38.382,IU,FURI,8.895,38.68,1551,92.089
Y6,CHKA,8.257,39.221,IU,FURI,8.895,38.68,2464,92.335
XJ,PR52,-2.959,35.702,XJ,LN16,-2.621,36.465,6864,92.705
XJ,LL23,-2.297,35.69,XJ,LN16,-2.621,36.465,6941,93.343
XJ,LL66,-2.612,35.484,XJ,PR11,-2.823,36.299,6644,93.579
Y6,ULAR,8.143,39.078,IU,FURI,8.895,38.68,6468,94.007
XJ,KEN1,-1.941,36.693,XJ,LN15,-2.628,36.185,5566,94.677
YJ,KOTE,9.388,39.396,IU,FURI,8.895,38.68,4455,95.743
Y6,ANOL,8.182,39.181,IU,FURI,8.895,38.68,5599,96.232
XJ,LL22,-2.52,35.599,XJ,LN16,-2.621,36.465,5148,96.952
YJ,BORE,8.746,39.554,IU,FURI,8.895,38.68,4818,97.552
IU,FURI,8.895,38.68,XI,FICH,9.782,38.737,3344,98.305
Y6,HURT,8.121,39.128,IU,FURI,8.895,38.68,1991,98.797
